title,ethnicity,activity,location,text,tags,caption,object
photo235,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6848.jpg"" height=""500px"">"
photo236,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6869.jpg"" height=""500px"">"
photo237,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6901.jpg"" height=""500px"">"
photo238,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6902.jpg"" height=""500px"">"
photo239,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6908.jpg"" height=""500px"">"
photo240,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6951.jpg"" height=""500px"">"
photo241,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6972.jpg"" height=""500px"">"
photo242,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6994.jpg"" height=""500px"">"
photo243,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6996.jpg"" height=""500px"">"
photo244,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7001.jpg"" height=""500px"">"
photo245,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7018.jpg"" height=""500px"">"
photo246,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7033.jpg"" height=""500px"">"
photo247,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7052.jpg"" height=""500px"">"
photo248,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7117.jpg"" height=""500px"">"
photo249,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7125.jpg"" height=""500px"">"
photo250,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7148.jpg"" height=""500px"">"
photo251,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7156.jpg"" height=""500px"">"
photo252,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7158.jpg"" height=""500px"">"
photo253,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_7163.jpg"" height=""500px"">"
